scenario,n_complete,n_per_group,n_recruit_15pct_loss,a_language,a_action,b_within,indirect_language,indirect_action,icc,random_slope_sd,random_effects,replications,inner_draws,power_language_alpha05,power_action_alpha05,power_both_alpha05,power_language_alpha025,power_action_alpha025,power_both_alpha025,mcse_language_alpha025,mcse_action_alpha025,mean_a_language_hat,mean_a_action_hat,mean_b_hat,failures,seed
Sadelik a-yolu sıfır,288,72,340,0.0,0.2,0.3,0.0,0.06,0.5,0.15,intercept + language + action + focus; diagonal G,1000,3000,0.058,1.0,0.058,0.028,1.0,0.028,0.005216895628628198,0.0,0.000305682529549581,0.20013568988147062,0.299532704687692,0,20290826
Eylem a-yolu sıfır,288,72,340,0.2,0.0,0.3,0.06,0.0,0.5,0.15,intercept + language + action + focus; diagonal G,1000,3000,1.0,0.052,0.052,1.0,0.022,0.022,0.0,0.0046385342512479085,0.20011979691576537,-0.0005511320942490183,0.2995665733490698,0,20290927
b-yolu sıfır,288,72,340,0.2,0.2,0.0,0.0,0.0,0.5,0.15,intercept + language + action + focus; diagonal G,1000,3000,0.037,0.037,0.037,0.018,0.018,0.018,0.004204283529925164,0.004204283529925164,0.20106524090194086,0.20141245188263662,-2.3932372855868946e-05,0,20291028
