scenario,n_complete,n_per_group,n_recruit_15pct_loss,a_language,a_action,b_within,indirect_language,indirect_action,icc,random_slope_sd,random_effects,replications,inner_draws,power_language_alpha05,power_action_alpha05,power_both_alpha05,power_language_alpha025,power_action_alpha025,power_both_alpha025,mcse_language_alpha025,mcse_action_alpha025,mean_a_language_hat,mean_a_action_hat,mean_b_hat,failures,seed
Temkinli,288,72,340,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,5000,3000,0.8966,0.903,0.8108,0.843,0.8446,0.713,0.0051449198244481915,0.005123491778074792,0.0998020328258825,0.1002461270946113,0.20012747789429236,0,20260826
Orta,288,72,340,0.2,0.2,0.3,0.06,0.06,0.5,0.15,intercept + language + action + focus; diagonal G,5000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.19997677153227575,0.19987261469236203,0.30000078344333714,0,20260927
İyimser,288,72,340,0.3,0.3,0.4,0.12,0.12,0.5,0.15,intercept + language + action + focus; diagonal G,5000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3005536418652538,0.3004586073918932,0.40042446580152485,0,20261028
