scenario,n_complete,n_per_group,n_recruit_15pct_loss,a_language,a_action,b_within,indirect_language,indirect_action,icc,random_slope_sd,random_effects,replications,inner_draws,power_language_alpha05,power_action_alpha05,power_both_alpha05,power_language_alpha025,power_action_alpha025,power_both_alpha025,mcse_language_alpha025,mcse_action_alpha025,mean_a_language_hat,mean_a_action_hat,mean_b_hat,failures,seed
Temkinli,288,72,340,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.1,intercept + language + action + focus; diagonal G,1000,3000,0.924,0.917,0.849,0.861,0.861,0.745,0.010939789760319894,0.010939789760319894,0.09951024641289881,0.09968888097227507,0.20068982231254776,0,20280826
Temkinli,288,72,340,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.15,intercept + language + action + focus; diagonal G,1000,3000,0.904,0.896,0.805,0.849,0.827,0.699,0.01132249972400088,0.011961229033840963,0.1014466994840124,0.10001009836146733,0.19979976963390683,0,20280857
Temkinli,288,72,340,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.2,intercept + language + action + focus; diagonal G,1000,3000,0.87,0.881,0.767,0.803,0.824,0.652,0.012577400367325513,0.012042591083317579,0.09787069612916251,0.10136908318519025,0.20047641272543248,0,20280888
Temkinli,288,72,340,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.25,intercept + language + action + focus; diagonal G,1000,3000,0.864,0.846,0.73,0.776,0.768,0.584,0.013184233007649704,0.013348258313353095,0.09939464768368465,0.09883434854762001,0.20070373510688583,0,20280919
