scenario,n_complete,n_per_group,n_recruit_15pct_loss,a_language,a_action,b_within,indirect_language,indirect_action,icc,random_slope_sd,replications,inner_draws,power_language_alpha05,power_action_alpha05,power_both_alpha05,power_language_alpha025,power_action_alpha025,power_both_alpha025,mcse_language_alpha025,mcse_action_alpha025,joint_sig_language_alpha05,joint_sig_action_alpha05,mean_a_language_hat,mean_a_action_hat,mean_b_hat,failures,seed
Temkinli,224,56,264,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,2000,3000,0.8435,0.8465,0.7105,0.757,0.7665,0.581,0.009590385810800314,0.00945985597141944,0.843,0.845,0.09901182551214006,0.1001801639150942,0.20097986206248855,0,20264000
Temkinli,240,60,284,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,2000,3000,0.8725,0.887,0.771,0.798,0.8175,0.6535,0.008977638887814545,0.008636948245763661,0.8705,0.8855,0.10053183733865771,0.10132107969311392,0.19954814869865561,0,20264097
Temkinli,256,64,304,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,2000,3000,0.896,0.898,0.8035,0.84,0.843,0.7085,0.00819756061276768,0.008134832512104968,0.8945,0.8985,0.10115949548499409,0.10048189139189985,0.19976114977553208,0,20264194
Temkinli,272,68,320,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,2000,3000,0.906,0.919,0.8335,0.8525,0.861,0.7355,0.007929178709046731,0.0077355995242773526,0.908,0.918,0.0999317329176944,0.10041502224939054,0.20050026202368296,0,20264291
Temkinli,288,72,340,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,2000,3000,0.9185,0.926,0.8535,0.8795,0.878,0.7765,0.007279414468211026,0.007318333143551201,0.915,0.9265,0.09988177589779304,0.09922934116984704,0.20033599812930564,0,20264388
Temkinli,304,76,360,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,2000,3000,0.9385,0.9295,0.873,0.896,0.8855,0.795,0.0068258332824644935,0.007120033356663438,0.9375,0.93,0.10034865578978787,0.09985702749853632,0.20021831312668717,0,20264485
Temkinli,320,80,380,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,2000,3000,0.9445,0.9425,0.8915,0.9045,0.9095,0.8235,0.006571900410079265,0.006415206543830059,0.9455,0.943,0.10017526446513796,0.10044834522270886,0.20012211237536484,0,20264582
Temkinli,336,84,396,0.1,0.1,0.2,0.020000000000000004,0.020000000000000004,0.5,0.0,2000,3000,0.9515,0.956,0.91,0.9185,0.921,0.8455,0.006117914268768402,0.006031542091372652,0.952,0.9565,0.09983569211537116,0.1004574540793425,0.19937544145426242,0,20264679
